Name,Coordinates,Date & Time
image75.jpg,46.90347222222222 33.99886111111111,2023:04:24 07:28:44
image76.jpg,46.615833333333335 34.83658333333334,2023:04:24 07:28:55
image77.jpg,46.32244444444445 35.662166666666664,2023:04:24 07:29:05
image78.jpg,46.021499999999996 36.48125,2023:04:24 07:29:16
image79.jpg,45.71416666666667 37.29077777777778,2023:04:24 07:29:26
image80.jpg,45.402027777777775 38.087138888888894,2023:04:24 07:29:36
image81.jpg,45.08247222222222 38.87738888888889,2023:04:24 07:29:47
image82.jpg,44.757527777777774 39.656888888888886,2023:04:24 07:29:57
image83.jpg,44.42680555555555 40.42691666666666,2023:04:24 07:30:07
image84.jpg,44.090500000000006 41.18738888888888,2023:04:24 07:30:18
image85.jpg,43.74875 41.93841666666666,2023:04:24 07:30:28
image86.jpg,43.40222222222222 42.678999999999995,2023:04:24 07:30:38
image87.jpg,43.04958333333333 43.412194444444445,2023:04:24 07:30:49
image88.jpg,42.69152777777777 44.136944444444445,2023:04:24 07:30:59
image89.jpg,42.32827777777778 44.85302777777778,2023:04:24 07:31:09
image90.jpg,41.959611111111116 45.56122222222222,2023:04:24 07:31:20
image91.jpg,41.58680555555556 46.25936111111111,2023:04:24 07:31:30
image92.jpg,41.20838888888889 46.950583333333334,2023:04:24 07:31:40
image93.jpg,40.82447222222223 47.63483333333333,2023:04:24 07:31:51
image94.jpg,40.438694444444444 48.30605555555555,2023:04:24 07:32:01
image95.jpg,40.04816666666667 48.969750000000005,2023:04:24 07:32:11
image96.jpg,39.65208333333333 49.62752777777778,2023:04:24 07:32:22
image97.jpg,39.25175 50.277388888888886,2023:04:24 07:32:32
image98.jpg,38.846944444444446 50.91994444444444,2023:04:24 07:32:42
image99.jpg,38.43825 51.55458333333333,2023:04:24 07:32:53
image100.jpg,38.02436111111111 52.183527777777776,2023:04:24 07:33:03
image101.jpg,37.60830555555556 52.802499999999995,2023:04:24 07:33:13
image102.jpg,37.188222222222215 53.41461111111111,2023:04:24 07:33:24
image103.jpg,36.76444444444444 54.01958333333333,2023:04:24 07:33:34
image104.jpg,36.337472222222225 54.61702777777778,2023:04:24 07:33:44
image105.jpg,35.907944444444446 55.20630555555556,2023:04:24 07:33:55
image106.jpg,35.474805555555555 55.78916666666667,2023:04:24 07:34:05
image107.jpg,35.03872222222222 56.364916666666666,2023:04:24 07:34:15
image108.jpg,34.599333333333334 56.93436111111111,2023:04:24 07:34:26
image109.jpg,34.156888888888886 57.49736111111111,2023:04:24 07:34:36
image110.jpg,33.71102777777778 58.05455555555555,2023:04:24 07:34:46
image111.jpg,33.26313888888889 58.60452777777778,2023:04:24 07:34:57
image112.jpg,32.81225 59.14863888888889,2023:04:24 07:35:07
image113.jpg,32.35919444444445 59.68619444444444,2023:04:24 07:35:17
image114.jpg,31.90347222222222 60.21791666666667,2023:04:24 07:35:28
image115.jpg,31.445055555555555 60.74413888888889,2023:04:24 07:35:38
image116.jpg,30.983055555555556 61.266,2023:04:24 07:35:48
image117.jpg,30.519916666666667 61.78097222222222,2023:04:24 07:35:59
image118.jpg,30.051972222222222 62.293305555555555,2023:04:24 07:36:09
image119.jpg,29.58325 62.79875,2023:04:24 07:36:19
image120.jpg,29.112833333333334 63.29852777777778,2023:04:24 07:36:30
image121.jpg,28.640333333333334 63.793277777777774,2023:04:24 07:36:40
image122.jpg,28.16483333333333 64.28405555555555,2023:04:24 07:36:50
image123.jpg,27.68722222222222 64.77019444444444,2023:04:24 07:37:01
image124.jpg,27.20733333333333 65.252,2023:04:24 07:37:11
